"AffiliateItemCard href","ItemCard__image src","ItemCard__name"
"https://affiliate.shopee.vn/offer/product_offer/2608753400?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7ra0g-m9zmtw4ti8ucfa.webp","Kính Cường Lực iPhone KK 4D Cao Cấp Full Màn iPhone 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17/Pro/Max/Mini/Air"
"https://affiliate.shopee.vn/offer/product_offer/47806465186?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-ml4zig2oa1vkee.webp","(Tặng Remote) Gậy chụp ảnh Selfie 4 chân A14 1M8 điều khiển từ xa có phân loại đèn trợ sáng Tripod chụp ảnh 360"
"https://affiliate.shopee.vn/offer/product_offer/20625866584?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7r98o-lxgcit0b6pjv9a.webp","Cường lực chống nhìn trộm có khung tự dán cho iphone 11 pro max 12 pro max 13 promax x xr xs max 7 8 plus 14 15 16 17"
"https://affiliate.shopee.vn/offer/product_offer/27227362254?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7ra0g-m7lnqvvsbeyra4.webp","Charm Chữ Đục Mini Trang Trí Tiểu Cảnh,Handmade Ốp Lưng,Bình Nước,Nón Bảo Hiểm,KẹpTóc [1 cái ]-Charm Lumi"
"https://affiliate.shopee.vn/offer/product_offer/2820087763?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-ml5sc8ox4s1t28.webp","Nước giặt OMO Matic Hương Nước Hoa Comfort 4.1KG (túi)"
"https://affiliate.shopee.vn/offer/product_offer/23244410073?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7ra0g-m9zsat7xhi562f.webp","Ốp Lưng iPhone TPU Silicon Mềm 4 Góc Cao Cấp, Chống Sốc, Bảo Vệ Camera - iP 6/7/8/Plus/X/XS/11/12/13/14/15/16/17/Pro/Max"
"https://affiliate.shopee.vn/offer/product_offer/11575337511?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-ml5sb5i1ayve35.webp","Combo 2 Nước giặt OMO Matic Hương Nước Hoa Comfort 4.1KG (túi)"
"https://affiliate.shopee.vn/offer/product_offer/26609048170?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7ra0g-ma0no4sczi8q98.webp","Ốp Lưng iPhone TPU Chống Bẩn Lót Nhung, Bảo Vệ Camera - iP 7/8/X/XS/XR/11/12/13/14/15/16/17/Mini/Plus/Pro/Max/Air"
"https://affiliate.shopee.vn/offer/product_offer/43912972306?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7ras8-mdf20gbotcx854.webp","Nước rửa trang sức bạc TLEE dung dịch làm sáng bóng bạc như mới 50ml TLEE JEWELRY PK0120"
"https://affiliate.shopee.vn/offer/product_offer/54351598560?trace=%7B%22trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.ZpuMoLdgyV.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-ml5shuc5z7yn2f.webp","Nước Giặt OMO Matic Cho Quần Áo Bé Yêu 4,1kg/túi"
