"AffiliateItemCard href","ItemCard__image src","ItemCard__name"
"https://affiliate.shopee.vn/offer/product_offer/15806688140?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7ras8-m1dlhhr57di467.webp","Băng keo thể thao Hộp 24 cuộn, băng quấn cổ chân cao su non cuốn cổ tay hạn chế chấn thương thể thao"
"https://affiliate.shopee.vn/offer/product_offer/50605689850?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134201-81ztc-mk6wlphgpnns97.webp","[SP TẶNG KHÔNG BÁN] Túi Bảo vệ dép trong suốt hoặc đen, Quà tặng miễn phí kèm đơn hàng"
"https://affiliate.shopee.vn/offer/product_offer/29969254383?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-mkgbwbrhaadffa.webp","{MUA 1 TẶNG 1 GIAO SAU TẾT} Dầu sáp ong lau đồ gỗ Đại Lâm Mộc- Đánh bóng, làm mới, bảo vệ độ bền gỗ, hỗ trợ ngăn mối mọt"
"https://affiliate.shopee.vn/offer/product_offer/10274497227?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/a07bb2aa21db69621b3b8270d6e2efa3.webp","Băng keo quấn cổ chân thể thao cao su non bảo vệ cổ chân tự dính đá bóng chống chấn thương"
"https://affiliate.shopee.vn/offer/product_offer/28500312389?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7r98o-lvg4ao6xbt7100.webp","Cuốn cán Yonex chính hãng, cuốn cán vợt cầu lông thoáng khí chống mồ hôi tay bảo vệ cán vợt"
"https://affiliate.shopee.vn/offer/product_offer/53405599859?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-ml7j26rn3bi982.webp","[HÀNG TẶNG KHÔNG BÁN] Quà tặng khi mua Máy uốn tóc tự động SeeMee , Máy Sấy, Lược điện tạo kiểu nhanh chóng bảo vệ tóc"
"https://affiliate.shopee.vn/offer/product_offer/50255696403?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134201-81ztc-mk6wlsb2gfeo77.webp","[TẶNG KHÔNG BÁN] Túi Bảo vệ dép trong suốt hoặc đen, Quà tặng miễn phí kèm đơn hàng"
"https://affiliate.shopee.vn/offer/product_offer/6431576397?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7r98o-ls3zr68tdd3t7e.webp","Băng keo thể thao quấn cổ chân HỘP 24 CUỘN, băng cuốn đá banh thể thao hỗ trợ bảo vệ cổ tay, đầu gối"
"https://affiliate.shopee.vn/offer/product_offer/27008205701?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/ea34b749e010fdadbe0df440fefa9156.webp","Băng keo quấn cổ chân thể thao cao su non bảo vệ cổ chân tự dính đá bóng chống chấn thương"
"https://affiliate.shopee.vn/offer/product_offer/21655357673?trace=%7B%22trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.V2Fyskg70R.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-mlehkpzxlhc805.webp","Máy sấy tóc CWell C03HD công suất lớn 1800W-2500W, 6 chế độ sấy kép, ánh sáng xanh bảo vệ tóc"
