Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
18881589810,"Lót mũ nón bảo hiểm Silicon Massage chống nóng, chống xẹp tóc, thông thoáng làm mát, chăm sóc bảo vệ da đầu","16,9k",200k+,Goldspy,"4,5%",₫676,https://shopee.vn/product/116745109/18881589810,https://s.shopee.vn/3fymtqR5l3
29637579279,"【MotoPlex】Lót mũ nón bảo hiểm Silicon Massage chống nóng, chống xẹp tóc, thông thoáng làm mát, chăm sóc bảo vệ da đầu","13,9k",30k+,MotoPlex,"6,5%",₫834,https://shopee.vn/product/1457910130/29637579279,https://s.shopee.vn/3VfMhXRj62
43308247389,"Lót mũ nón bảo hiểm Silicon Massage chống nóng, chống xẹp tóc, thông thoáng làm mát, chăm sóc bảo vệ da đầu","26,5k",10k+,VARO Helmets,"6,5%",₫1.590,https://shopee.vn/product/281960897/43308247389,https://s.shopee.vn/3LLwVESMR1
27488073654,"MÁY MASSAGE VTT 16 Đầu Máy mát xa Giảm Đau Cơ Sâu, Động Cơ êm 45dB, Thời Lượng Pin Dài | Chính Hãng","645,8k",10k+, VTT Personal Care Shop,"13,8%",₫83.957,https://shopee.vn/product/1567488156/27488073654,https://s.shopee.vn/3B2WIvSzm0
24439512144,"Lót mũ nón bảo hiểm Silicon Massage chống xẹp tóc, thông thoáng, chăm sóc bảo vệ da đầu","18,0k",50k+,HomeShopping247,8%,₫1.440,https://shopee.vn/product/37778998/24439512144,https://s.shopee.vn/30j66cTd6z
23484238067,"Máy massage xung điện 8 chế độ sạc USB, Máy massage cổ vai gáy","16,0k",40k+,TP Mart 360,"9,5%",₫1.440,https://shopee.vn/product/541441955/23484238067,https://s.shopee.vn/2qPfuJUGRy
18395428778,"[BH 2NĂM] Máy mát xa cầm tay, súng massage ZODAN ZB360 toàn thân 4 đầu thay thế 6 cấp độ BH 2 NĂM","109,0k",60k+,ZODAN Official Store,"8,5%",₫8.720,https://shopee.vn/product/1041085930/18395428778,https://s.shopee.vn/2g6Fi0Utmx
24645985246,Máy Rung Lắc Toàn Thân Tích Hợp Máy Rung Bụng Loại Mỡ Thừa Giảm Mỡ Thừa Thon Gọn Dáng Thư Giãn Cơ Thể,"1,6tr",2k+,Mexi_Store,"14,5%",₫222.600,https://shopee.vn/product/1333090111/24645985246,https://s.shopee.vn/5AnagbLNiS
26678155039,🍑RY🍑Năm Móng Vuốt Gỗ Hươu Lưu Thông Máu Cạo Bàn Chải Cơ Thể Kinh Tuyến Thúc Đẩy Da Đầu Massage Lược Nữ Máy Mát Xa Mặt,"9,3k",10k+,ranliy,"11,5%",₫1.022,https://shopee.vn/product/991801960/26678155039,https://s.shopee.vn/50UAUIM13R
47150298599,"Lót mũ nón bảo hiểm Silicon Massage chống xẹp tóc, thông thoáng, chăm sóc bảo vệ da đầu

 UTU","8,5k",8k+,utuony.vn,"19,5%",₫1.615,https://shopee.vn/product/1607101998/47150298599,https://s.shopee.vn/4qAkHzMeOQ
24030424362,"Máy Massage Cầm Tay Mini, Súng Massage Cầm Tay Mini Toàn Thân 6 Cấp Độ Chuyên Sâu Đa Năng","188,0k",1tr+,GunGold.Vietnam,"26,5%",₫48.880,https://shopee.vn/product/718367937/24030424362,https://s.shopee.vn/4frK5gNHjP
40110595266,Wisezen Gối Massage Cổ Vai Gáy Máy Massage Hồng Ngoại 20 Bi Cao Cấp Hỗ Trợ Mát Xa Toàn Thân Quà Tặng Sang Trọng,"219,0k",3k+,Wisezen Official Store,"19,5%",₫41.610,https://shopee.vn/product/1494748267/40110595266,https://s.shopee.vn/4VXttNNv4O
43163200292,"GÓI DỊCH VỤ BẢO HÀNH ĐIỆN TỬ TOÀN SHOP Máy massage cầm tay, máy mát xa 16 đầu massage toàn thân giúp giảm nhức mỏi cơ","20,0k",10k+,Gwell Store VN,"4,5%",₫800,https://shopee.vn/product/718612388/43163200292,https://s.shopee.vn/4LETh4OYPN
17199188219,"TBH 5 NĂM KHI MUA CÁC SẢN PHẨM CỦA SHOP NHƯ T ÔNG ĐƠ, Q UẠT S ƯỞI, MÁY LÀM T ÓC, ĐỆM MASSAGE v.v","1,0k",9k+,Galaxy 68 Store,"6,5%",₫60,https://shopee.vn/product/1044937728/17199188219,https://s.shopee.vn/4Av3UlPBkM
