Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
15806688140,"Băng keo thể thao Hộp 24 cuộn, băng quấn cổ chân cao su non cuốn cổ tay hạn chế chấn thương thể thao","62,0k",100k+,Shop thể thao 247 Max Rẻ,"9,5%",₫5.580,https://shopee.vn/product/57459908/15806688140,https://s.shopee.vn/1qXEEwRIB8
50605689850,"[SP TẶNG KHÔNG BÁN] Túi Bảo vệ dép trong suốt hoặc đen, Quà tặng miễn phí kèm đơn hàng","3,0k",3k+,V-Perfume®,"8,5%",₫240,https://shopee.vn/product/537680446/50605689850,https://s.shopee.vn/1gDo2dRvW7
29969254383,"{MUA 1 TẶNG 1 GIAO SAU TẾT} Dầu sáp ong lau đồ gỗ Đại Lâm Mộc- Đánh bóng, làm mới, bảo vệ độ bền gỗ, hỗ trợ ngăn mối mọt","77,0k",50k+,Mộc Linh Hương Shop,"14,5%",₫10.780,https://shopee.vn/product/1408031169/29969254383,https://s.shopee.vn/2BA4dYQ1VE
10274497227,Băng keo quấn cổ chân thể thao cao su non bảo vệ cổ chân tự dính đá bóng chống chấn thương,"11,8k",700k+,Shop thể thao 24h Giá Rẻ,"4,5%",₫470,https://shopee.vn/product/254091551/10274497227,https://s.shopee.vn/20qeRFQeqD
28500312389,"Cuốn cán Yonex chính hãng, cuốn cán vợt cầu lông thoáng khí chống mồ hôi tay bảo vệ cán vợt","8,9k",50k+,zokosport,"9,5%",₫800,https://shopee.vn/product/894221706/28500312389,https://s.shopee.vn/2Vmv2AOkpK
53405599859,"[HÀNG TẶNG KHÔNG BÁN] Quà tặng khi mua Máy uốn tóc tự động SeeMee , Máy Sấy, Lược điện tạo kiểu nhanh chóng bảo vệ tóc","300,0k",6k+,Brushie Hồ Chí Minh,"4,5%",₫12.000,https://shopee.vn/product/267538189/53405599859,https://s.shopee.vn/2LTUprPOAJ
50255696403,"[TẶNG KHÔNG BÁN] Túi Bảo vệ dép trong suốt hoặc đen, Quà tặng miễn phí kèm đơn hàng","3,0k",2k+,AnhVy_unisex36,"4,5%",₫120,https://shopee.vn/product/1500807138/50255696403,https://s.shopee.vn/BP0FsXdYu
6431576397,"Băng keo thể thao quấn cổ chân HỘP 24 CUỘN, băng cuốn đá banh thể thao hỗ trợ bảo vệ cổ tay, đầu gối","56,0k",100k+,Shop thể thao 24h Giá Rẻ,"10,5%",₫5.600,https://shopee.vn/product/254091551/6431576397,https://s.shopee.vn/15a3ZYGtt
27008205701,Băng keo quấn cổ chân thể thao cao su non bảo vệ cổ chân tự dính đá bóng chống chấn thương,"8,0k",30k+,Northside League,"6,5%",₫480,https://shopee.vn/product/801434938/27008205701,https://s.shopee.vn/W1qeUWMt0
21655357673,"Máy sấy tóc CWell C03HD công suất lớn 1800W-2500W, 6 chế độ sấy kép, ánh sáng xanh bảo vệ tóc","289,0k",30k+,CWELL Official Store,"9,5%",₫26.010,https://shopee.vn/product/619053218/21655357673,https://s.shopee.vn/LiQSBX0Dz
16085744562,Combo 2 Túi nước giặt Lix đậm dặc hương nước hoa 3.2Kg bảo vệ da tay sạch thơm như mới - 2C-NGH47,"235,0k",60k+,Lixco - Chăm Sóc Gia Đình,"6,5%",₫14.100,https://shopee.vn/product/779607831/16085744562,https://s.shopee.vn/qeh36V6D6
12633602819,"Máy duỗi tóc ép thẳng AKIO tạo kiểu thẳng xoăn có ion âm, đèn hồng ngoại bảo vệ tóc tối đa","385,0k",40k+,AKIO Beauty Official Store,"4,5%",₫15.400,https://shopee.vn/product/202721408/12633602819,https://s.shopee.vn/gLGqnVjY5
28571257875,Túi đựng rác tự phân hủy bảo vệ môi trường kích thước lớn 55.65cm,"17,8k",20k+,Tổng kho gia dụng Kim Chi,"6,5%",₫1.069,https://shopee.vn/product/1423867958/28571257875,https://s.shopee.vn/1BHXRiTpXC
28778088502,"Máy sấy tóc cao cấp Matrix có ion âm bảo vệ tóc, sấy nóng lạnh công suất lớn 2800W bảo hành 12 tháng","382,0k",10k+,MATRIX STORE VN,"6,5%",₫22.920,https://shopee.vn/product/1483126156/28778088502,https://s.shopee.vn/10y7FPUSsB
27526716205,"Máy sấy tóc ion âm Camy Air Power 2 chiều tạo kiểu bảo vệ tóc, tốc độ cao 1600W bảo hành 12 tháng","466,0k",10k+,Camy Online Store,"4,5%",₫18.640,https://shopee.vn/product/1453748726/27526716205,https://s.shopee.vn/4Av91EIPRo
