Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23244410073,"Ốp Lưng iPhone TPU Silicon Mềm 4 Góc Cao Cấp, Chống Sốc, Bảo Vệ Camera - iP 6/7/8/Plus/X/XS/11/12/13/14/15/16/17/Pro/Max","13,9k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,"20,5%",₫2.780,https://shopee.vn/product/89827191/23244410073,https://s.shopee.vn/2BA4defP9m
11575337511,Combo 2 Nước giặt OMO Matic Hương Nước Hoa Comfort 4.1KG (túi),"450,0k",200k+,Unilever - Chăm sóc Gia đình,"6,5%",₫27.000,https://shopee.vn/product/26947756/11575337511,https://s.shopee.vn/20qeRLg2Ul
26609048170,"Ốp Lưng iPhone TPU Chống Bẩn Lót Nhung, Bảo Vệ Camera - iP 7/8/X/XS/XR/11/12/13/14/15/16/17/Mini/Plus/Pro/Max/Air","36,9k",300k+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,"20,5%",₫7.380,https://shopee.vn/product/89827191/26609048170,https://s.shopee.vn/1qXEF2gfpk
43912972306,Nước rửa trang sức bạc TLEE dung dịch làm sáng bóng bạc như mới 50ml TLEE JEWELRY PK0120,"32,5k",100k+,TLEE JEWELRY Official Store,"14,5%",₫4.550,https://shopee.vn/product/11263389/43912972306,https://s.shopee.vn/1gDo2jhJAj
54351598560,"Nước Giặt OMO Matic Cho Quần Áo Bé Yêu 4,1kg/túi","231,0k",60k+,Unilever - Chăm sóc Gia đình,"6,5%",₫13.860,https://shopee.vn/product/26947756/54351598560,https://s.shopee.vn/1VuNqQhwVi
16687477269,"Kính Cường Lực Iphone Tự Dán Chống Nhìn Trộm, trong suốt FULL HỘP Cho ip 7P/8P/X/XS/XR/11/12/13/14/15/16/17/Pro/Max","22,9k",1tr+,Panda_Case ,"14,5%",₫3.206,https://shopee.vn/product/238930514/16687477269,https://s.shopee.vn/1Laxe7iZqh
21318354488,Cường lực iphone 14 ProMax 15 Plus 14 Pro 13 ProMax 13 Pro 12 Pro Max 11 Pro Max Xs X Xr 7 8 Plus 16 17 Air [3D],"19,5k",400k+,Phụ kiện PaPa,"9,5%",₫1.755,https://shopee.vn/product/448837622/21318354488,https://s.shopee.vn/9AJoyWEkxE
46051002508,[QUÀ TẶNG GIẤY LAU] Khăn lau 1 và 2 mếng lau vệ sinh màn hình điện thoại,"99,0k",80k+,SHOP PHỤ KIỆN SKY,"13,5%",₫12.870,https://shopee.vn/product/449168894/46051002508,https://s.shopee.vn/900OmDFOID
5589708136,[QUÀ TẶNG KHÁCH VIP] Miếng Dán Mèo Thần Tài gắn ốp lưng điện thoại Mạ Vàng Mang Tới Tài Lộc [SKY 8899],"100,0k",100k+,SHOP PHỤ KIỆN SKY,"14,5%",₫14.000,https://shopee.vn/product/449168894/5589708136,https://s.shopee.vn/8pgyZuG1dC
6816312877,[TẶNG MIẾNG NGẪU NHIÊN] Miếng lót sơ sinh Bobby Newborn 1-108 miếng,"138,0k",600k+,Bobby - Gian Hàng Chính Hãng,"7,5%",₫9.660,https://shopee.vn/product/63521925/6816312877,https://s.shopee.vn/8fNYNbGeyB
28038764607,[QUÀ TẶNG KHÔNG BÁN] Gói Xả Đậm Đặc Hygiene 20ml - Ánh Dương Hạnh Phúc,"500,0k",20k+,I.P. ONE Vietnam,"4,5%",₫20.000,https://shopee.vn/product/1479423124/28038764607,https://s.shopee.vn/8V48BIHIJA
9717344505,Kính cường lực iphone KK full 6plus/6s/6splus/7/7plus/8/8plus/x/xs/11/12/13/14/15/16/17/pro/max/promax/plus AWiFi D4-4,"18,9k",700k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,"14,5%",₫2.646,https://shopee.vn/product/7669738/9717344505,https://s.shopee.vn/8KkhyzHve9
44853998362,Ốp Lưng Iphone TPU Silicon 2in1 kẹo Pastel nhám 6/6s/7/8/plus/x/xs/11/12/13/14/15/16/17/pro/max/plus/promax- 1Awifi S2-5,"21,9k",20k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,"14,5%",₫3.066,https://shopee.vn/product/7669738/44853998362,https://s.shopee.vn/8ARHmgIYz8
4812682396,"Kính Cường Lực Chống Nhìn Trộm Có Khung Tự Dán, Trong Suốt -iPhone 7/8/Plus/X/XS/XR/11/12/13/14/15/16/17Pro/Max/Mini/Air","21,9k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,"23,5%",₫5.037,https://shopee.vn/product/89827191/4812682396,https://s.shopee.vn/807raNJCK7
28309604497,"Ốp Lưng iPhone TPU Đệm Nhung Chống bẩn, Bảo Vệ Camera - iP 6/7/8/X/XS/XR/11/12/13/14/15/16/17/Mini/Plus/Pro/Max/Air","36,9k",100k+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,"20,5%",₫7.380,https://shopee.vn/product/89827191/28309604497,https://s.shopee.vn/AUpCYy9gFc
