Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
47853145505,[Gift] Gói Dầu Gội Hương Nước Hoa Romano Classic 5g/gói,"1,0tr",10k+,Romano Vietnam,"4,5%",₫40.000,https://shopee.vn/product/140586149/47853145505,https://s.shopee.vn/AKVmO60lI8
25641656202,"Dầu gội nhuộm tóc tạo bọt, Thuốc nhuộm tóc dạng bọt chiết xuất thiên nhiên | Chenglovehair, Chenglovehairs","72,0k",60k+,THUỐC NHUỘM TÓC CHENGLOVEHAIRS,"9,5%",₫6.480,https://shopee.vn/product/261570329/25641656202,https://s.shopee.vn/AUpCaP07xB
26438252127,"Bộ đôi dầu gội xả ngăn ngừa & giảm gãy rụng tóc, giúp tóc chắc khỏe hơn L’oreal Paris Elseve Full Resist 440ml","459,0k",70k+,L'Oreal Paris Official Store,"9,5%",₫41.310,https://shopee.vn/product/37251933/26438252127,https://s.shopee.vn/9zsvzU21y6
45350401368,"[1 Quà tặng bất kỳ - Không chọn] Nước lau đa năng 500ml, tinh dầu On1, Bondy mist 30ml, Dầu gội Bondy 250g,...","68,0k",30k+,Lixco - Chăm Sóc Gia Đình,"6,5%",₫4.080,https://shopee.vn/product/779607831/45350401368,https://s.shopee.vn/AACMBn1Od9
55852819731,"[QUÀ TẶNG KHÔNG BÁN] Dầu gội ngăn ngừa & giảm gãy rụng tóc, giúp tóc chắc khỏe hơn L’oreal Paris Full Resist 80ml","700,0k",10k+,L'Oreal Paris Official Store,"4,5%",₫28.000,https://shopee.vn/product/37251933/55852819731,https://s.shopee.vn/9fG5as3Ie4
28668614090,"[Diện mạo mới] Combo Dầu Gội, Dầu Xả TRESemmé Keratin Smooth Keratinbond+ Cho Tóc Khô Xơ Rối Vào Nếp Suôn Mượt 640g,620g","326,0k",70k+,Unilever Chăm Sóc Sắc Đẹp,"10,5%",₫32.600,https://shopee.vn/product/1397276155/28668614090,https://s.shopee.vn/9pZVnB2fJ7
15462059521,Bộ gội xả dưỡng tóc suôn mượt cao cấp L'Oreal Paris Extraordinary Oil Smooth 440ml x2,"449,0k",100k+,L'Oreal Paris Official Store,"9,5%",₫40.410,https://shopee.vn/product/37251933/15462059521,https://s.shopee.vn/9KdFCG4ZK2
29111618609,Dầu Gội Bồ Kết Thorakao Dưỡng Tóc Đen Bóng Suôn Mượt 750ml/400ml,"93,0k",100k+,THORAKAO CHÍNH HÃNG   ,"12,5%",₫11.160,https://shopee.vn/product/1345246829/29111618609,https://s.shopee.vn/9UwfOZ3vz5
15499167073,"Dầu Gội Đầu Khô SPES Dạng Xịt Dưỡng Tóc Tạo Phồng Cấp Tốc, Hút Dầu Không Bết Giữ Nếp 50/100/150/200ml","169,0k",50k+,Spes VietNam,"14,5%",₫23.660,https://shopee.vn/product/1032506021/15499167073,https://s.shopee.vn/900One5q00
4187609198,Dầu Gội Dược Liệu Nguyên Xuân Xanh Dưỡng Tóc 365g KM 35g - giá không đổi,"133,0k",200k+,Dược Phẩm Hoa Linh Miền Bắc,"7,5%",₫9.310,https://shopee.vn/product/204172029/4187609198,https://s.shopee.vn/9AJozx5Cf3
