Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
6171847320,"Dầu gội bồ kết - bưởi, dầu gội thảo dược thuần chay hỗ trợ kích mọc tóc Giọt Lành 500ml","189,0k",200k+,Giọt Lành - Vẻ đẹp Thuần Chay,"9,5%",₫17.010,https://shopee.vn/product/275350132/6171847320,https://s.shopee.vn/8fNYP276fy
26752322142,Bộ gội xả dưỡng tóc suôn mượt tóc cao cấp L'Oreal Paris Sleek 440ml x2 & Dầu dưỡng chiết xuất tinh dầu 30ml,"459,0k",80k+,L'Oreal Paris Official Store,"9,5%",₫41.310,https://shopee.vn/product/37251933/26752322142,https://s.shopee.vn/8pgybL6TL1
40068048463,Dầu gội khô phồng tóc Grace and Glow Velvet Opium/Daisy Breeze 150ml kiềm dầu lâu bết giúp giải cứu tóc bết lưu,"139,0k",10k+,Grace And Glow Official Store,"10,5%",₫13.900,https://shopee.vn/product/458546292/40068048463,https://s.shopee.vn/8Kki0Q8NLw
25688651553,"Dầu gội sạch gàu Clear đánh bay gàu & nhờn ngứa, sảng khoái cả ngày dài 630G","172,0k",40k+,Unilever Chăm Sóc Sắc Đẹp,"10,5%",₫17.200,https://shopee.vn/product/1397276155/25688651553,https://s.shopee.vn/8V48Cj7k0z
19466257088,"Chai Chiết Dầu Gội Sữa Tắm Trong Suốt, Hộp Đựng Nước Rửa Tay, Nước Rửa Bát Đa Năng, Chai Đựng Dầu Gội, Lọ Đựng Sữa Tắm","22,8k",100k+,MoMo House - Nhà của Mỡ,"6,5%",₫1.368,https://shopee.vn/product/123094057/19466257088,https://s.shopee.vn/807rbo9e1u
26972818350,[BW Gift mới]  Dầu gội/Dầu xả Tresemme 70g (mẫu ngẫu nhiên),"200,0k",50k+,Unilever Chăm Sóc Sắc Đẹp,"4,5%",₫8.000,https://shopee.vn/product/1397276155/26972818350,https://s.shopee.vn/8ARHo790gx
14275506433,Dầu gội dược liệu Nguyên Xuân Xanh dưỡng tóc 520g,"170,0k",100k+,Dược Phẩm Hoa Linh Miền Nam,"7,5%",₫11.900,https://shopee.vn/product/289558947/14275506433,https://s.shopee.vn/7fV1DCAuhs
26268454916,"Dầu Gội Clear Thảo Dược Nuôi Dưỡng Da Đầu Từ Gốc, Sạch Gàu Và Giảm Gãy Rụng 630g","200,0k",90k+,Unilever Chăm Sóc Sắc Đẹp,"10,5%",₫20.000,https://shopee.vn/product/1397276155/26268454916,https://s.shopee.vn/7poRPVAHMv
7042610232,Dầu Gội Sạch Gàu Antisol | Giảm Gàu Bong Tróc - Giảm Cảm Giác Ngứa Da Đầu | Thương Hiệu iCare Pharma,"268,9k",100k+,iCarePharma_Store,"14,5%",₫37.639,https://shopee.vn/product/286107128/7042610232,https://s.shopee.vn/7KsAoaCBNq
41412722725,"Bộ đôi gội xả nhẹ bồng mái tóc 72H Elseve HA Pure cho da đầu dầu hoặc Moist cho da đầu khô L'Oreal Paris 620ml, 375ml","376,0k",10k+,L'Oreal Paris Official Store,"9,5%",₫33.840,https://shopee.vn/product/37251933/41412722725,https://s.shopee.vn/7VBb0tBY2t
